ID,type,$\nabla V$,$D_{TMSD}$,$v_{TMSD}$,$K_{\alpha}$,$\alpha_{TMSD}$,$v_{mean}$,$D_{v}$,$a_{v}$,$D_{\theta}$,$a_{\theta}$,$\tau$,$\beta$,$\alpha_{1}$,$\alpha_{2}$
BT14B-3,3,IB,0.5075,0.27,0.64,1.38,1.24,0.0005,0.0032,81.933,0.0065,0.01,-2.29,1.55,-0.59
BT14B-4,3,IB,0.6575,0.2,1.72,1.14,1.54,0.0017,0.0041,3.5034,0.0149,4.42e+03,0.82,1.75,0.21
BT15A-1,3,RW,12.325,1.34,180.28,0.0,2.62,0.0032,0.0,2.5224,0.0025,307.21,0.43,1.82,0.85
BT15A-2,3,IB,1.565,0.48,1.78,1.41,2.18,0.0085,0.0105,19.9722,0.0108,4.28e+03,0.65,1.83,0.45
BT15A-3,3,RW,4.0325,0.8,3.23,1.52,1.56,0.002,0.0017,3.6611,0.003,13.24,-0.7,1.79,0.28
BT15A-4,3,GF,0.2375,0.18,0.22,1.46,1.63,0.0047,0.0447,0.6562,0.0063,9.25e+05,3.23,1.15,-0.62
BT15B-1,3,GF,4.135,0.82,4.0,1.48,2.33,0.0102,0.0051,2.7297,0.0368,0.0,-382.83,0.0,-0.7
BT15B-2,3,IB,0.3,0.2,0.22,1.5,0.96,0.0007,0.0061,1.7036,0.0046,6.47e+08,3.54,1.17,-0.63
BT15B-3,3,RW,9.225,1.26,6.47,1.57,2.48,0.019,0.0043,1.3945,0.0036,8.04e+06,5.83,1.42,0.74
BT15B-4,3,WF,18.44,1.73,12.85,1.56,2.5,0.0036,0.0,1.3487,0.0018,61.92,1.16,1.14,0.93
BT18A-1,1,IB,0.0525,0.07,0.09,1.25,0.97,0.0,0.0008,15.1906,0.0057,0.0,-8.98,0.63,-0.66
BT18A-2,1,GF,1.4475,0.44,2.79,1.29,2.64,0.0153,0.0128,2.6002,0.003,4.01e+06,223.97,1.44,-0.7
BT18A-3,1,IB,2.225,0.55,2.55,1.4,2.24,0.0077,0.0067,47.5484,0.0027,138.35,0.03,1.85,0.67
BT18A-4,1,RW,4.2925,0.82,5.03,1.42,1.82,0.0024,0.0015,28.3493,0.0026,3.12e+03,1.32,1.85,0.13
BT18B-1,1,GF,0.7225,0.34,0.53,1.55,1.25,0.0022,0.0078,7.4974,0.0025,842.46,1.96,1.61,-0.34
BT18B-2,1,GF,0.1725,0.15,0.16,1.43,0.93,0.0002,0.0042,48.7039,0.0026,1.82e+03,2.91,1.06,-0.67
BT18B-3,1,RW,3.24,0.72,1.69,1.63,1.59,0.0034,0.0039,0.3356,0.0067,437.63,1.18,1.77,0.61
BT18B-4,1,GF,1.915,0.55,0.9,1.66,1.45,0.0031,0.0059,7.4899,0.0041,3.22e+03,3.24,1.28,0.17
